Num    X        Y        FwhmX    FwhmY    Angle    Mag      Flux          OMC        SNR
228    189.62   72.935   4.54     3.265    0.6644   16.393   13808.7       98.17      8.375
229    219.17   235.71   7.545    3.932    0.3877   16.397   13748         81.06      5.045
230    919.63   379.7    3.56     3.528    -0.8802  16.402   13685         12.71      75.65
231    1317.5   332.41   3.779    3.657    1.556    16.402   13684.6       6.998      124.9
232    314.5    89.653   3.772    3.69     -0.253   16.413   13547.1       21.58      39.8
233    830.65   1607.9   3.83     3.712    -1.263   16.415   13526.8       8.237      101.9
234    852.72   774.43   3.129    2.944    -1.491   16.426   13389.9       278.4      4.607
235    592.16   95.984   3.089    2.91     -1.329   16.434   13287.3       296.6      4.398
236    71.242   156.78   5.519    4.709    0.03128  16.435   13282.7       138.2      3.262
237    73.738   523.13   3.995    3.696    -0.7983  16.443   13188.7       13.41      58.77
238    125.97   72.338   5.752    3.769    1.262    16.445   13164.3       97.35      5.505
239    732.21   597.4    3.702    3.667    -0.2682  16.446   13144.7       6.42       133.1
240    857.94   810.74   3.89     3.699    -1.123   16.448   13123.9       7.773      103.6
241    172.66   103.32   4.175    3.914    1.567    16.449   13115.9       51.09      13.87
242    134.67   331.73   4.41     3.659    -1.443   16.453   13061.2       35.2       20.3
243    176.79   139.14   4.133    4.011    0.4919   16.465   12920.1       88.17      7.801
244    522.33   333.4    3.728    3.531    -0.9951  16.478   12766.6       19.55      43.79
245    454.26   286.31   7.152    4.412    -0.06791 16.48    12746.6       42.84      8.322
246    764.06   216.78   3.772    3.573    -1.111   16.485   12677.2       12.73      65.24
247    751.47   270.81   3.788    3.464    -1.048   16.501   12493.4       19.98      42.06
248    41.992   600.13   4.556    3.827    0.2582   16.502   12487.1       21.18      29.84
249    46.933   165.37   3.902    3.277    0.8246   16.51    12396.7       80.07      10.68
250    252.7    1289.5   3.75     3.65     -0.734   16.519   12289.8       7.373      107.5
251    308.11   225.36   3.492    3.458    -1.372   16.527   12196.4       22.16      40.22
252    821.11   544.96   3.747    3.564    1.514    16.529   12183.2       8.034      100.2
253    305.9    959.83   3.646    3.636    1.56     16.558   11856.3       8.81       89.6
254    409.22   226.79   3.424    3.167    -1.231   16.569   11736.7       116.6      8.191
255    561.53   815.81   3.799    3.624    -1.112   16.57    11730.3       8.326      90.3
256    1260.9   590.37   3.698    3.621    1.363    16.575   11670.8       10.91      70.5
257    147.84   1441     3.815    3.541    -0.8128  16.577   11653.4       11.87      64.17
