# ID  jfk    jdf     V      uncV   B_V   B_VUn
 332 1593.68  689.89 19.531 0.005  0.475 0.007
 333 1320.12  712.33 19.534 0.005  0.447 0.008
 334  225.37 1179.12 19.534 0.005  0.495 0.007
 335  248.17  546.74 19.537 0.005  0.471 0.008
 336   60.12  403.34 19.543 0.005  0.447 0.008
 337  114.10  528.13 19.545 0.005  0.473 0.008
 338 1453.93  174.41 19.546 0.005  0.458 0.007
 339 1685.19 1400.18 19.553 0.005  0.465 0.008
 340  200.67   85.07 19.559 0.005  0.458 0.008
 341 1289.88  617.24 19.563 0.005  0.464 0.008
 342  319.92   61.93 19.567 0.005  0.458 0.008
 343   75.78   57.26 19.568 0.006  0.468 0.008
 344 1554.76 1096.30 19.572 0.005  0.455 0.007
 345  332.46 1223.87 19.577 0.005  0.458 0.007
 346  396.50    7.94 19.577 0.006  0.482 0.009
 347  117.02  301.87 19.580 0.005  0.464 0.008
 348  247.19  908.77 19.581 0.006  0.433 0.009
 349 1482.29  576.88 19.582 0.005  0.456 0.008
 350  301.05  593.73 19.584 0.005  0.475 0.007
 351  871.96 1843.25 19.585 0.005  1.498 0.009
 352 1437.90 1018.14 19.589 0.005  0.420 0.008
 353  574.82   65.61 19.594 0.005  0.462 0.007
 354  163.66   80.15 19.600 0.005  0.467 0.008
 355  339.48  720.76 19.605 0.005  0.446 0.008
 356 1492.05  539.55 19.611 0.006  0.452 0.008
 357 1710.92 1839.21 19.614 0.006  0.494 0.008
 358   90.95 1716.58 19.617 0.006  0.633 0.008
 359  693.60 1172.09 19.622 0.005  0.461 0.008
 360   21.27  851.17 19.627 0.007  0.467 0.010
 361  439.12  411.80 19.636 0.006  0.450 0.008
 362  719.53 1586.46 19.638 0.005  0.557 0.008
 363    5.70  718.62 19.640 0.007  0.480 0.010
 364   36.69   16.40 19.645 0.007  1.304 0.011
 365  157.50  334.72 19.646 0.006  0.489 0.008
 366 1012.42  506.75 19.648 0.006  0.501 0.008
 367  338.97   47.30 19.649 0.005  0.455 0.008
 368   34.03   77.84 19.659 0.008  0.506 0.011
 369 1908.48 1978.45 19.661 0.006  0.489 0.009
 370  684.91  118.36 19.662 0.005  0.467 0.008
 371  225.87  596.50 19.665 0.005  0.461 0.008
 372  312.64  380.95 19.666 0.005  0.477 0.008
 373   79.34  216.81 19.666 0.006  0.463 0.008
 374  537.89  402.99 19.666 0.006  0.470 0.008
 375  290.44  855.99 19.666 0.006  0.477 0.008
 376 1193.69 1171.30 19.666 0.006  0.461 0.008
 377  310.31 1572.95 19.668 0.005  0.487 0.008
 378 1936.79  669.17 19.669 0.006  0.469 0.008
 379 1098.93 1007.66 19.670 0.006  0.467 0.008
 380   66.03  405.84 19.675 0.005  0.484 0.008
 381  251.22  250.38 19.675 0.006  0.480 0.008
 382  344.79   88.60 19.682 0.006  0.475 0.008
 383  860.07 1130.61 19.689 0.006  0.451 0.008
 384  524.76  323.08 19.689 0.006  0.490 0.008
 385 1089.04 2030.05 19.695 0.006  0.469 0.008
 386 1752.46  297.38 19.703 0.005  0.477 0.008
 387  261.10  536.18 19.703 0.006  0.453 0.008
 388  587.62  459.42 19.712 0.006  0.452 0.008
 389  140.07  509.45 19.714 0.005  0.470 0.008
 390  802.25  658.26 19.716 0.005  0.461 0.008
 391 1376.85  951.87 19.718 0.006  0.432 0.008
 392  192.15  274.20 19.719 0.005  0.517 0.008
 393  228.30  781.04 19.720 0.005  0.482 0.008
 394 1452.60 1004.14 19.722 0.006  0.455 0.008
 395  249.65  186.01 19.727 0.006  0.488 0.008
 396 1693.32 1429.84 19.730 0.006  1.029 0.009
 397  283.98  542.42 19.733 0.006  0.477 0.008
 398  932.97  113.04 19.736 0.006  0.506 0.008
 399  233.52   77.11 19.738 0.005  0.465 0.008
 400  494.66  517.11 19.738 0.006  0.464 0.008
 401   92.45  688.12 19.739 0.005  0.494 0.008
 402  106.51  533.75 19.740 0.005  0.476 0.008
 403  993.80 1188.97 19.743 0.006  0.446 0.008
 404  492.87   60.37 19.747 0.006  0.478 0.008
 405   36.78  400.62 19.748 0.006  0.482 0.008
 406    5.60   10.25 19.749 0.011  0.452 0.014
 407  626.80 1375.86 19.750 0.005  0.501 0.008
 408  192.86  533.11 19.751 0.006  0.468 0.008
 409  535.92  140.49 19.759 0.008  0.498 0.011
 410   92.37  591.66 19.759 0.006  0.489 0.008
