# ID  X      Y        V        unc_V    B      unc_B  I        unc_I   X_     E
 139 1340.91  552.90  14.597   0.001  15.656   0.001  13.351   0.001   0.924  -0.086
 140 1496.95  714.66  14.593   0.001  15.666   0.001  13.349   0.001   0.915   0.006
 141  834.93  413.55  14.606   0.001  15.699   0.001  13.320   0.001   0.931  -0.106
 142 1350.59  379.75  14.611   0.001  15.676   0.001  13.340   0.001   0.964   0.030
 143 1090.74  975.85  14.593   0.004  15.665   0.003  13.372   0.003   0.939  -0.153
 144 1025.32 1591.65  14.627   0.001  15.254   0.001  13.763   0.001   0.916  -0.011
 145  972.56  253.76  14.618   0.001  15.688   0.001  13.358   0.001   0.906  -0.078
 146 1281.68  766.70  14.627   0.001  15.592   0.001  13.449   0.001   0.920  -0.060
 147 1536.63  911.35  14.641   0.007  15.403   0.008  13.633   0.005   0.920  -0.007
 148 1741.88 1035.22  14.627   0.001  15.705   0.001  13.358   0.001   0.981  -0.059
 149  965.33  802.74  14.639   0.001  15.404   0.001  13.652   0.001   1.011  -0.015
 150 1024.32 1182.03  14.623   0.001  15.102   0.001  13.975   0.001   0.899  -0.078
 151 1128.26 1112.23  14.633   0.001  15.698   0.001  13.371   0.001   0.908  -0.041
 152 2170.89  841.76  14.656   0.002  15.381   0.002  13.677   0.002   1.081  -0.220
 153  565.68  241.08  14.638   0.001  15.740   0.001  13.339   0.001   0.902  -0.107
 154 1204.09  953.30  14.635   0.004  15.659   0.004  13.428   0.001   0.911  -0.088
 155  980.36  937.66  14.637   0.007  15.690   0.006  13.403   0.000   0.918  -0.009
 156 1489.01  809.99  14.658   0.001  15.472   0.001  13.606   0.001   0.909   0.026
 157 1129.45  634.57  14.662   0.001  15.340   0.001  13.753   0.001   0.938   0.047
 158 1354.33 1908.78  14.647   0.001  15.676   0.001  13.435   0.001   0.954  -0.070
 159  359.90 1437.92  14.670   0.001  14.990   0.001  14.100   0.001   0.934  -0.013
 160  961.34  873.27  14.717   0.001  15.729   0.032  13.499   0.001   1.055   0.112
 161 1949.53  406.36  14.612   0.001  15.128   0.001  14.035   0.002   1.081  -0.142
 162 1197.64 1605.56  14.656   0.001  15.130   0.001  13.992   0.001   0.902  -0.011
 163  -35.64 1461.40  14.680   0.003  15.446   0.002  13.652   0.004   1.098   0.052
 164  536.04 1536.72  14.648   0.001  14.992   0.001  14.142   0.001   0.917   0.005
 165 1111.21 1130.96  14.748   0.001  15.058   0.001  13.995   0.001   0.935   0.081
 166 1348.81  730.79  14.668   0.001  15.718   0.001  13.419   0.001   0.895  -0.066
 167 1002.44  675.14  14.683   0.001  15.487   0.001  13.644   0.001   0.939  -0.188
 168  764.34 1401.87  14.696   0.001  15.283   0.001  13.846   0.001   0.910   0.002
 169 1809.38 1760.24  14.698   0.001  15.273   0.001  13.865   0.001   0.943  -0.037
 170 1186.81  593.60  14.672   0.001  15.690   0.001  13.474   0.001   0.908  -0.011
 171 1359.10  355.88  14.654   0.001  15.818   0.001  13.366   0.001   1.019   0.144
 172 1194.54  522.68  14.694   0.001  15.399   0.001  13.746   0.001   0.890  -0.010
 173 1364.35  618.32  14.700   0.001  15.417   0.001  13.751   0.001   0.990   0.010
 174 1173.75  856.60  14.690   0.001  15.191   0.001  14.006   0.001   0.923   0.035
 175  681.96  706.33  14.693   0.001  15.776   0.001  13.420   0.001   0.927  -0.108
 176  900.01 1077.73  14.716   0.001  15.442   0.001  13.746   0.001   0.897  -0.017
 177 1794.17  122.44  14.719   0.001  15.271   0.001  13.915   0.001   0.933  -0.099
 178  -37.22  758.63  14.639   0.002  16.042   0.002  13.239   0.002   1.045   0.028
 179 1766.21 1274.99  14.722   0.001  15.594   0.001  13.610   0.001   0.951  -0.065
 180  751.05  685.18  14.723   0.001  15.289   0.001  13.915   0.001   0.931  -0.090
 181 1665.37  849.95  14.697   0.001  15.078   0.001  14.152   0.001   0.947  -0.128
 182 1266.99 1089.54  14.737   0.001  15.446   0.001  13.763   0.001   0.997   0.139
 183 2192.14  684.81  14.601   0.002  15.402   0.002  13.944   0.003   1.051  -0.082
 184 1999.47  741.59  14.708   0.001  15.724   0.001  13.517   0.001   1.042  -0.185
 185  931.84  935.88  14.721   0.008  15.737   0.006  13.514   0.002   0.911   0.000
 186 1506.08 1107.35  14.726   0.001  15.783   0.001  13.456   0.001   0.941  -0.006
 187 1361.82  674.33  14.737   0.001  15.359   0.001  13.882   0.001   0.953   0.024
 188 1418.64 1259.64  14.722   0.001  15.829   0.001  13.429   0.001   0.912  -0.050
 189 1232.50  818.39  14.677   0.001  15.248   0.001  14.072   0.001   0.973   0.184
 190 1047.70  611.85  14.746   0.001  15.437   0.001  13.820   0.001   0.922  -0.129
 191 1509.18  751.82  14.751   0.001  15.493   0.001  13.765   0.001   0.899  -0.064
 192 1406.48 1089.87  14.756   0.001  15.529   0.001  13.725   0.001   0.911  -0.018
 193 1107.02  315.76  14.752   0.001  15.581   0.001  13.680   0.001   0.893  -0.045
 194 1063.02  864.21  14.746   0.001  15.455   0.001  13.813   0.001   0.931  -0.168
 195  897.31 1006.31  14.843   0.127  15.309   0.004  13.950   0.002   0.928  -0.102
 196 1297.15 1427.59  14.719   0.001  14.981   0.001  14.327   0.002   0.924   0.006
 197 1160.48  659.65  14.744   0.001  15.772   0.001  13.511   0.001   0.953   0.072
 198 1013.01  640.53  14.757   0.001  15.537   0.001  13.733   0.001   0.916  -0.074
 199 1042.71  179.11  14.737   0.001  15.850   0.001  13.441   0.001   0.913  -0.121
 200 1069.53 1456.84  14.741   0.001  15.294   0.001  13.995   0.001   0.937   0.064
 201  240.63  682.99  14.728   0.001  15.075   0.001  14.235   0.002   0.954  -0.061
 202   29.24 1128.90  14.721   0.001  14.943   0.001  14.383   0.002   0.971   0.045
 203  990.64 1014.85  14.741   0.009  15.782   0.003  13.524   0.001   0.992  -0.180
 204  921.03 1666.99  14.734   0.001  15.289   0.001  14.025   0.001   0.905   0.020
 205  617.26  539.40  14.752   0.001  15.845   0.001  13.459   0.001   0.916  -0.090
 206 1086.71  893.65  14.743   0.008  15.080   0.003  14.253   0.005   0.934  -0.029
 207 1654.30  966.06  14.776   0.000  15.470   0.003  13.840   0.008   0.920  -0.078
 208  517.11 1088.52  14.843   0.001  15.364   0.001  13.881   0.001   0.896  -0.029
 209 1250.45  619.20  14.773   0.001  15.658   0.001  13.660   0.001   1.048  -0.063
 210 1548.26 1181.42  14.785   0.001  15.592   0.001  13.719   0.001   0.912  -0.053
 211  966.59  642.08  14.765   0.001  15.854   0.001  13.485   0.001   0.968  -0.068
 212 1645.72  894.42  14.729   0.008  15.418   0.142  14.062   0.058   0.956  -0.094
 213  817.33 1005.34  14.830   0.074  15.413   0.013  13.948   0.030   0.958  -0.106
 214 1054.71 1281.62  14.859   0.001  15.276   0.001  13.978   0.001   0.931   0.000
 215 1441.17 1190.03  14.749   0.001  15.164   0.001  14.200   0.001   0.937   0.004
 216 2020.01 1925.39  14.772   0.003  15.736   0.003  13.611   0.002   1.146  -0.099
 217  623.69  951.38  14.754   0.004  15.079   0.001  14.288   0.000   0.940  -0.112
 218  832.80  727.78  14.789   0.001  15.607   0.001  13.726   0.001   0.914   0.030
 219  663.72  804.69  14.750   0.001  15.120   0.001  14.252   0.001   0.976  -0.014
 220 1217.73  700.08  14.767   0.001  15.177   0.001  14.185   0.001   0.931  -0.106
 221 1521.75 1117.45  14.789   0.001  15.248   0.001  14.096   0.001   0.901  -0.033
 222  758.04 1301.87  14.777   0.001  15.800   0.001  13.570   0.001   0.899  -0.076
 223 1425.40  556.72  14.799   0.001  15.591   0.001  13.761   0.001   0.898  -0.031
 224  933.80  637.66  14.781   0.001  15.871   0.001  13.501   0.001   0.906  -0.076
 225  774.66 1281.60  14.769   0.001  15.102   0.001  14.282   0.001   0.901  -0.001
 226 1190.41  812.96  14.791   0.001  15.396   0.001  13.971   0.001   0.966   0.008
 227  916.10  808.20  14.782   0.001  15.859   0.001  13.519   0.001   0.932  -0.127
 228 1212.94 1897.76  14.868   0.001  15.455   0.001  13.842   0.001   0.930  -0.036
 229 1450.70  758.85  14.788   0.001  15.823   0.001  13.555   0.001   0.913   0.030
 230 1171.80  551.60  14.774   0.001  15.136   0.001  14.265   0.001   0.951  -0.117
 231 1158.85  413.95  14.829   0.001  15.489   0.001  13.859   0.001   1.199   0.306
 232 1035.85  693.06  14.804   0.001  15.465   0.001  13.914   0.001   0.916  -0.069
 233 1669.08  393.29  14.801   0.001  15.517   0.001  13.866   0.001   0.928  -0.026
 234  419.40   88.22  14.801   0.001  15.946   0.001  13.438   0.001   0.869  -0.128
 235 1455.76 1299.85  14.741   0.001  15.336   0.001  14.114   0.001   0.901   0.037
 236 2058.08 1714.22  14.784   0.002  15.379   0.001  14.034   0.002   1.003  -0.028
 237 1039.16 1314.03  14.816   0.001  15.554   0.001  13.833   0.001   0.903  -0.054
 238  652.70  695.75  14.790   0.001  15.169   0.001  14.246   0.001   0.931  -0.095
 239 1426.37  695.74  14.769   0.001  15.064   0.001  14.376   0.002   0.999   0.046
 240 1404.72  676.52  14.769   0.001  15.131   0.001  14.314   0.002   1.004   0.118
 241 1725.46  126.26  14.823   0.001  15.690   0.001  13.708   0.001   0.890  -0.053
 242 1795.56  795.74  14.807   0.001  15.814   0.001  13.618   0.001   0.938  -0.103
 243  674.58  748.41  14.833   0.001  15.548   0.001  13.871   0.001   0.921   0.024
 244 1532.27 1615.84  14.919   0.001  15.293   0.001  14.041   0.001   0.931   0.038
 245  460.85  810.96  14.811   0.001  15.817   0.001  13.626   0.001   0.913  -0.121
 246  961.13  816.73  14.940   0.001  15.332   0.001  13.986   0.001   0.927   0.068
