#Num    X        Y        FwhmX    FwhmY    Angle    Mag      Flux      OMC    SNR
146    594.17   528.48   5.21     3.393    1.254    15.586   29244.8   89.94  16.23
147    224.83   312.53   3.61     3.383    1.211    15.605   28716.9   41.75  49.71
148    679.98   353.68   3.389    3.228    -1.299   15.661   27284.4   21.91  100.5
149    1364.1   83.733   3.532    3.313    -1.119   15.68    26816.4   21.23  95.3
150    614.87   173.79   3.427    3.267    -1.007   15.68    26803.5   38.79  54.46
151    336.29   181.2    3.508    3.405    1.069    15.691   26547.6   43.63  44.95
152    184.33   418.99   3.373    3.287    -1.237   15.695   26430.9   55.82  37.68
153    40.815   1150.6   3.564    3.398    -0.4806  15.7     26318.8   24.02  79.85
154    1652.2   87.075   3.413    3.348    -1.438   15.704   26226.6   21.03  96.35
155    434.97   530.19   3.397    3.325    -0.9703  15.708   26136.1   51.69  39.51
156    1483.9   238.61   3.676    3.422    -1.376   15.718   25895.8   15.87  114.4
157    43.53    26.986   3.975    3.469    0.5119   15.724   25744.5   51.66  31.9
158    624.23   1332.6   3.661    3.538    -1.256   15.726   25697.4   23.86  73.37
159    178.16   118.05   3.605    3.457    1.539    15.732   25544.9   86.42  20.94
160    794.21   401.76   3.492    3.325    -1.041   15.781   24424     20.26  91.61
161    52.524   225.72   3.735    3.405    0.3187   15.792   24189     62.81  26.73
162    260.27   1088.3   3.513    3.287    -0.178   15.794   24136.5   22.99  80.24
163    195.32   174.35   6.715    5.647    -1.085   15.795   24125     59.27  9.473
164    335.43   228.79   3.374    3.296    -1.531   15.806   23864.3   36.52  51.86
165    1699.3   446.65   3.63     3.423    -1.17    15.808   23829.4   18.81  89.96
166    227.3    187.91   10.03    7.884    0.4688   15.81    23779.4   39.46  6.725
167    166.46   385.05   3.75     3.437    -1.48    15.846   23016.7   53.51  29.45
168    1185.7   182.01   3.574    3.258    -1.123   15.851   22904.1   22.02  78.86
169    548.3    951.73   3.522    3.464    -0.8207  15.873   22450.1   20.57  78.95
170    1123.5   209.03   3.573    3.309    -1.161   15.889   22123.8   16.07  102.8
171    1715.7   235.33   3.539    3.373    -1.502   15.898   21943.1   14.41  112.6
172    21.597   274.06   3.612    3.361    0.5044   15.907   21751.4   35.64  44.37
173    428.41   119.87   2.704    2.643    0.6355   15.923   21435.2   616.3  4.294
174    1304     1201.6   3.481    3.379    -1.347   15.926   21370.5   22.44  71.48
175    211.71   303.3    3.458    3.43     1.327    15.936   21185.6   65.46  24.08
176    239.44   248.24   4.888    4.129    1.409    15.966   20599.6   80.96  11.13
177    237.7    213.13   3.615    3.407    1.548    15.972   20482.4   55.22  26.58
178    82.937   128.76   3.461    3.226    0.6346   15.98    20340.3   94.66  16.99
179    952.9    234.15   3.502    3.342    -1.121   15.985   20237.3   16.68  91.47
180    374.97   557.7    3.398    3.396    0.4209   15.987   20201.8   20.21  76.44
181    277.89   766.96   3.481    3.314    0.2088   15.989   20164.8   35.28  43.74
182    50.72    86.595   3.558    3.281    0.9661   16.002   19933.5   88.43  17.04
183    15.163   92.715   4.232    3.446    0.6203   16.018   19641     47.41  25.07
184    1575.3   826.4    3.536    3.338    -1.276   16.02    19596.5   20.55  71.3
185    177.59   323.28   3.351    3.293    -0.4695  16.02    19595.4   42.31  37.04
186    745.25   239.01   3.443    3.274    -1.168   16.027   19473.5   39.47  38.64
187    165.6    228.26   3.788    3.476    0.9968   16.027   19469.4   44.04  29.63
188    188.28   523.7    3.663    3.42     -0.853   16.03    19416.8   21.96  62.29
189    25.831   41.132   4.527    3.557    1.008    16.037   19300.9   41.48  25.5
190    1200.1   1436     3.792    3.408    -1.25    16.039   19253.5   21.02  62.55
191    63.63    265.83   3.543    3.384    0.46     16.047   19127.8   32.15  43.8
192    251.67   104.72   3.678    3.584    1.353    16.059   18914.4   41.1   30.81
193    330.32   361.13   3.604    3.481    -1.016   16.07    18727.5   26.47  49.78
194    1695.8   1239     3.511    3.337    -1.348   16.07    18714     17.36  81.2
195    328.29   298.38   3.398    3.347    0.9214   16.099   18227.8   18.37  77.01
196    65.477   344.25   3.522    3.435    0.8512   16.106   18116.4   124.7  10.6
197    330.05   807.17   3.481    3.292    -0.7128  16.112   18015.7   17.3   80.2
198    531.99   182.88   3.449    3.431    -1.253   16.117   17929.4   23.88  56
199    230.4    238.97   4.22     3.92     0.3279   16.142   17525.4   95.63  9.777
200    771.46   154.2    3.435    3.238    -1.257   16.155   17312.7   29.49  46.58
201    873.34   468.32   3.484    3.321    -1.05    16.167   17119.5   14.33  91.16
202    230.77   145.91   3.9      3.365    0.8326   16.181   16900.8   33.7   33.73
203    74.957   349.11   3.706    3.444    -0.8927  16.184   16852.3   130.8  8.91
204    928.35   638.02   3.565    3.45     1.563    16.192   16725.2   13.71  87.55
205    171.05   205.58   3.404    3.159    0.3356   16.196   16671.3   72.3   18.93
206    225.73   12.739   4.615    3.633    1.174    16.203   16561     35.8   24.35
207    214      503.61   3.444    3.405    -1.435   16.216   16370.7   24.5   50.3
208    1026.2   385.91   3.431    3.421    -1.264   16.228   16178.5   16.58  73.37
209    181.98   300.72   3.506    3.506    0.8922   16.236   16062.5   20.33  56.73
210    614.93   335.59   3.52     3.249    -1.196   16.245   15939.5   22.2   55.41
211    195.95   109.93   3.521    3.209    -0.06686 16.245   15935.3   74.83  16.63
212    204.46   443.4    3.43     3.355    -1.252   16.264   15656.7   24.52  48.97
213    983.78   493.3    3.449    3.447    0.4959   16.266   15628.6   12.01  96.61
214    236.4    395.58   10.29    4.469    -0.7952  16.274   15518.1   38.23  7.786
215    180.12   275.37   3.625    3.268    1.356    16.279   15447.2   60.09  19.15
216    701.21   99.74    3.451    3.324    -0.7622  16.295   15211.2   14.93  78.39
217    254.49   324.21   3.409    3.349    -1.418   16.303   15110.5   27.45  42.56
218    31.054   456.93   3.393    3.328    0.1519   16.304   15086.8   46     25.63
219    304.02   286.2    4.436    3.293    0.4348   16.307   15042.4   46.95  19.36
220    25.85    55.604   6.467    3.956    -1.263   16.316   14923.6   40.95  12.57
221    325.36   523.74   3.413    3.312    -1.414   16.317   14910.1   49.29  23.61
222    260.93   342      3.493    3.453    1.477    16.323   14821.8   33.17  32.69
223    627.9    1762.4   3.687    3.432    -0.9788  16.351   14449.5   13.46  74.87
224    367.2    46.753   4.14     3.553    0.3108   16.361   14324.5   19.1   45
225    110.5    83.695   4.028    3.951    -0.09271 16.363   14288.4   88.34  8.968
226    602.31   16.225   3.962    3.666    1.326    16.37    14199.1   17.29  49.9
227    238.91   91.813   3.206    2.972    -1.568   16.371   14181     144.4  9.097
228    983.94   1034.8   3.646    3.451    -1.422   16.372   14172.2   11.94  83.26
229    638.26   1942.6   3.709    3.412    -1.154   16.375   14129.3   14.98  65.79
230    182.67   129.16   3.599    3.363    0.1955   16.378   14101.6   136.9  7.511
231    107.96   212.47   9.024    3.815    -0.2715  16.379   14084.5   75.22  4.8
232    526.15   1111.3   3.582    3.394    -0.4781  16.385   14004.2   14.23  71.47
233    590.31   315.84   3.31     3.234    -1.401   16.389   13950.8   25.66  44.81
234    1095.9   194.94   3.478    3.263    -1.236   16.394   13892.3   13.09  82.56
235    792.42   111.79   3.398    3.241    -0.7715  16.397   13846.7   22.93  48.38
236    591.9    95.612   2.94     2.799    -1.253   16.4     13812.5   315    4.702
237    37.435   234.85   3.711    3.444    0.5764   16.403   13779     19.06  49.92
238    778.81   97.903   3.419    3.229    -1.074   16.409   13699.2   24.11  45.43
239    852.48   774.08   2.969    2.837    -1.564   16.411   13669.5   297.8  4.81
240    117.29   1213.9   3.744    3.462    -1.04    16.412   13665.5   16.43  56.64
241    1549.5   493.06   3.474    3.383    -1.478   16.424   13510.1   13.37  75.89
242    159.08   70.033   5.954    4.266    0.002727 16.428   13458.2   38.84  12.04
243    919.36   379.31   3.325    3.295    -0.2225  16.429   13450.7   15.01  72.17
244    314.27   89.324   3.572    3.496    -0.8673  16.432   13413.2   24.02  39.46
245    1317.1   331.94   3.51     3.418    1.524    16.436   13357.3   10.16  96.69
246    73.544   522.9    3.839    3.528    -0.7695  16.465   13007.9   13.88  61.04
247    731.96   597.06   3.489    3.463    -1.244   16.471   12942.2   9.283  101.8
248    857.69   810.4    3.679    3.487    -1.037   16.475   12890.9   11.76  75.43
249    103.4    40.416   3.697    3.247    1.151    16.477   12872.9   68.14  13.89
250    454.03   285.99   7.155    4.214    -0.06969 16.486   12762.8   44.65  8.368
251    172.4    102.97   3.893    3.622    1.511    16.506   12531.6   55.29  14.19
252    522.08   333.07   3.458    3.297    -0.8922  16.517   12403     22.54  42.59
253    763.79   216.39   3.512    3.35     -1.091   16.518   12391.4   13.78  67.45
254    176.58   138.85   3.829    3.771    0.5581   16.523   12329.9   92.12  8.181
255    175.35   190.17   5.553    3.592    -0.7131  16.526   12304     60.75  8.962
256    307.88   225.06   3.31     3.303    -0.7758  16.533   12218.3   24.24  40.69
257    23.28    244.33   3.674    3.348    0.6931   16.534   12208.5   21.03  41.65
258    252.53   1289.3   3.581    3.538    -0.8899  16.538   12162.7   9.072  93.4
259    46.742   165.12   3.643    3.12     0.7677   16.539   12152.3   86.89  10.86
260    41.803   599.9    4.336    3.64     0.2337   16.541   12133.4   23.48  28.89
261    751.19   270.45   3.452    3.218    -1       16.554   11983.3   21.98  43.32
262    820.85   544.6    3.519    3.335    1.475    16.558   11937.8   11.38  78.88
263    305.71   959.61   3.488    3.441    -0.2348  16.583   11666.7   11.13  77.06
264    408.98   226.48   3.16     3.011    -1.194   16.593   11562.7   126.5  8.476
265    147.68   1440.8   3.708    3.402    -0.8282  16.594   11552.2   13.08  61.82
266    561.31   815.53   3.602    3.425    -1.036   16.597   11519.4   12     68.63
267    916.44   1287     3.685    3.403    -0.992   16.606   11425.9   9.253  86.92
268    527.06   670      3.545    3.374    -1.307   16.612   11366.4   8.704  96.37
269    1260.6   589.94   3.429    3.371    0.9942   16.612   11366.4   13.41  64.69
270    237.07   83.215   3.19     2.959    0.6198   16.618   11296.9   162.4  6.503
271    548.02   451.04   3.222    3.184    0.7267   16.62    11284.4   29.45  32.98
272    406.27   511.14   3.398    3.322    -0.6693  16.635   11120.6   30.52  28.49
273    192.08   160.67   7.474    4.26     -0.1977  16.637   11107.5   48.84  6.303
274    321.23   58.653   3.657    3.343    0.7827   16.638   11092.9   22.51  35.57
275    601.47   175.33   3.414    3.233    0.1672   16.647   11003.2   50.12  17.55
276    1063.7   729.27   3.587    3.444    -1.337   16.647   11002.7   10.29  76.41
