Num    X        Y        FwhmX    FwhmY    Angle    Mag      Flux      OMC    SNR
115    1125.1   1406.9   2.049    1.586    1.523    15.256   750.445   1.905  107
116    831.99   470.33   1.83     1.495    -1.543   15.259   748.921   1.981  121.9
117    432.54   885.25   1.582    1.394    1.155    15.262   746.882   4.088  73.11
118    674.46   639.85   1.886    1.654    1.189    15.266   743.554   1.7    123.8
119    815.25   1215     1.846    1.541    0.1642   15.272   739.846   1.518  151.2
120    827.8    966.81   1.693    1.536    0.06738  15.285   730.802   1.559  159.1
121    990.58   353.36   1.905    1.579    -1.499   15.29    727.453   1.433  149
122    1089     360.86   1.523    1.496    -1.135   15.291   726.937   1.998  141
123    566.12   898.73   1.429    1.272    1.05     15.294   724.825   5.12   68.7
124    541.82   809.16   1.613    1.375    1.234    15.295   724.403   7.121  40.47
125    1040     892.31   1.895    1.693    0.2194   15.297   723.128   1.405  141.6
126    923.11   355.58   1.648    1.628    0.9094   15.299   721.45    1.371  173.2
127    933.19   1468.1   2.104    1.637    1.343    15.299   721.328   1.606  115
128    579.29   55.548   1.895    1.594    1.407    15.309   715.105   1.848  113
129    333.16   306.7    1.53     1.462    1.337    15.311   713.693   1.099  256.3
130    382.58   422.75   1.478    1.318    0.3497   15.318   708.866   1.274  252.2
131    1348.8   1541.6   4.102    1.105    0.003651 15.323   705.924   15.07  9.119
132    385.17   529.13   1.547    1.355    0.613    15.33    701.451   1.759  167.9
133    631.85   1065.4   1.522    1.282    1.282    15.334   698.91    4.492  70.38
134    1106.9   1345.5   1.859    1.496    1.542    15.351   687.644   1.481  147.4
135    633.15   965.8    1.483    1.247    1.204    15.354   685.997   4.784  68.46
136    661.46   569.69   1.371    1.339    -1.238   15.363   680.477   1.719  190.2
137    36.72    523.83   1.866    1.61     -1.452   15.371   675.277   1.412  140.5
138    839.79   535.14   1.774    1.588    0.09818  15.384   667.312   1.318  158.6
139    1318.2   401.95   1.593    1.575    -0.6074  15.409   651.753   1.328  172.6
140    525.26   726.35   2.031    1.433    -0.00231815.423   643.685   21.77  8.964
141    785.44   631.81   1.673    1.473    0.6046   15.437   635.638   1.783  127.7
142    1189.6   534.66   1.831    1.269    1.421    15.442   632.727   26.25  9.151
143    614.06   795.31   1.806    1.464    1.331    15.446   630.064   11.73  17.94
144    1087.7   1115.5   1.933    1.821    1.451    15.469   617.123   4.308  35.91
145    939.86   308.94   1.918    1.404    -0.07899 15.471   615.658   2.032  99.27
146    615.64   605.89   1.954    1.934    -0.1448  15.471   615.575   1.193  120.6
147    1242.9   223.29   1.993    1.629    0.1224   15.484   608.724   1.282  129
148    802.74   1025.4   1.912    1.568    -1.565   15.504   597.585   1.302  135.1
149    305.6    54.633   2.956    1.45     0.2802   15.506   596.244   3.182  38.57
150    1316     486.78   1.814    1.516    -0.1029  15.51    593.944   1.385  137.6
151    588.72   749.02   2.084    1.818    1.108    15.529   584.017   17.64  7.713
152    521.38   760.34   2.002    1.957    -0.4109  15.529   583.622   15.49  8.486
153    1040.5   1361.7   2.038    1.704    1.369    15.545   575.251   1.191  122.7
154    1142.7   1235.2   1.342    0.9038   -1.566   15.564   565.032   3.685  111.6
155    376.15   21.588   3.016    1.23     1.552    15.579   557.488   9.161  14.48
156    584.22   13.517   2.842    0.9087   -1.28    15.59    551.844   10.64  17.73
157    986.65   695.27   2.027    1.869    0.2415   15.656   519.194   1.402  86.25
158    1110     629.5    3.016    1.442    -1.203   15.659   517.964   3.281  32.04
159    55.025   607.59   1.338    1.099    0.09253  15.661   516.89    7.462  41.56
160    525.86   651.38   1.981    1.767    1.48     15.67    512.731   2.689  48.08
161    514.56   697.1    1.969    1.807    0.1256   15.677   509.248   6.652  18.99
162    548.59   646.46   1.944    1.913    -0.8903  15.686   505.211   11.25  10.65
163    1468     45.545   2.092    1.762    1.194    15.692   502.262   0.887  135.6
164    759.66   671.56   1.305    1.272    -1.514   15.699   499.134   1.34   198.1
165    541.04   763.78   2.219    2.027    -0.4502  15.703   497.31    13.08  7.464
166    560.75   875.66   1.559    1.338    1.095    15.705   496.537   2.119  99.17
167    354.13   676.68   2.042    1.666    1.415    15.717   490.796   2.769  45.98
168    738.84   741.37   1.873    1.742    1.458    15.723   488.094   1.869  70.64
169    1014.8   1205.6   1.958    1.894    1.186    15.733   483.824   0.9711 118.6
170    492.61   768.48   1.975    1.947    0.04794  15.746   478.042   2.178  50.35
171    640.4    12.405   1.58     1.046    -0.00105615.747   477.728   7.45   34.23
172    235.5    255.11   1.948    1.815    -0.1967  15.748   477.032   2.49   47.83
173    114.86   252.22   2.054    1.914    -1.555   15.757   473.41    0.6307 168.5
174    698.31   710.92   2.072    2.03     1.276    15.772   466.927   1.893  51.76
175    1412.6   1303.4   2.012    1.867    0.1052   15.784   461.74    0.7162 151.5
176    445.23   762.86   1.94     1.862    -0.5739  15.789   459.429   1.738  64.58
177    1128.7   1386.9   3.12     1.589    0.5507   15.793   457.881   2.323  35.08
178    274.34   437.48   1.671    1.557    0.4904   15.793   457.827   1.066  145.6
179    595.08   863.76   1.518    1.257    1.059    15.799   455.05    2.458  85.65
180    571.26   816.3    1.858    1.555    0.5195   15.8     454.684   7.451  18.64
181    381      769.45   1.954    1.692    1.513    15.802   453.925   3.928  30.86
182    471.39   653.07   2.033    1.828    1.219    15.805   452.575   1.372  78.32
183    1320     93.514   1.82     1.81     -1.054   15.818   447.38    0.8587 139.5
184    962.41   1341.8   1.435    1.172    -1.548   15.818   447.218   1.87   125.4
185    631.16   727.86   1.822    1.48     1.415    15.82    446.518   6.071  24.08
186    626.09   813.68   1.45     1.282    0.908    15.82    446.39    7.097  29.85
187    785.59   335.6    2.734    1.578    -0.9816  15.825   444.387   1.741  52.21
188    751.37   121.86   3.477    1.38     -0.4186  15.838   439.17    3.383  23.87
189    382.53   662.46   1.866    1.649    1.513    15.857   431.604   14     8.841
190    761.51   619.56   1.994    1.893    0.5533   15.884   421.111   1.506  65.37
191    1370.9   1134.9   1.559    1.045    0.3716   15.885   420.472   4.421  51.51
192    566.31   720.03   1.846    1.379    0.04184  15.892   418.073   18.87  7.684
193    22.18    286.4    2.096    2.028    -1.422   15.893   417.455   0.583  148.7
194    585.85   884.6    1.509    1.335    0.9944   15.901   414.443   13.38  13.57
195    1245.1   1096.1   1.726    1.498    0.7969   15.901   414.298   9.591  14.74
196    969.35   1293.9   2.105    1.649    1.449    15.904   413.441   0.9944 105.7
197    575.25   722.8    1.785    1.394    0.0113   15.908   411.829   23.12  6.317
198    1356.6   366.43   1.953    1.825    1.278    15.923   405.996   2.901  34.64
199    901.43   853.98   1.835    1.625    1.113    15.927   404.679   1.16   103.2
200    699.82   468.42   2.041    1.727    0.2784   15.939   400.27    1.183  84.74
201    672.67   50.276   2.076    1.847    0.3996   15.939   400.14    0.793  116.2
202    875.74   616.38   1.789    1.647    0.3289   15.944   398.256   1.258  94.79
203    1049.7   931.03   1.914    1.523    0.02845  15.949   396.357   1.008  119.1
204    655.15   646.97   1.815    1.655    1.517    15.965   390.849   1.162  98.83
205    471.16   984.75   1.661    1.44     0.281    15.969   389.373   1.462  98.25
206    605.94   777      1.553    1.501    -0.681   15.982   384.706   12.79  11.39
207    1406.5   862.42   1.34     1.11     -0.8886  15.989   382.055   1.607  141.1
208    544.9    558.96   1.505    1.42     0.05781  15.992   381.062   1.325  118.8
209    944.49   473.85   1.879    1.439    0.0572   16.005   376.737   1.034  118.9
210    567.13   798.4    1.649    1.4      1.21     16.026   369.387   7.436  18.99
