# ID    d   s   ds    e  e  f    Bmag   e_B   Vmag   e_V    diff
ID-0119 17 37 17.64  -3 16 16.05 22.534 0.038 21.492 0.031  0.006
ID-0120 17 37 17.66  -3 13 41.90 22.661 0.031 21.731 0.033 -0.032
ID-0121 17 37 17.68  -3  8 39.26 22.315 0.031 21.305 0.033  0.002
ID-0122 17 37 17.68  -3 14  9.51 21.284 0.014 20.242 0.011 -0.032
ID-0123 17 37 17.69  -3 12 37.28 22.886 0.035 21.804 0.038 -0.050
ID-0124 17 37 17.69  -3 14 55.16 22.492 0.033 21.472 0.029 -0.022
ID-0125 17 37 17.69  -3 18 18.76 22.917 0.054 21.882 0.046 -0.001
ID-0126 17 37 17.70  -3 13 23.69 19.400 0.003 18.109 0.002 -0.050
ID-0127 17 37 17.71  -3  8 49.10 21.053 0.013 19.817 0.009  0.002
ID-0128 17 37 17.71  -3 12 15.13 23.019 0.046 22.059 0.056 -0.050
ID-0129 17 37 17.73  -3 19 14.74 21.006 0.011 19.896 0.009 -0.006
ID-0130 17 37 17.75  -3 20 19.92 21.355 0.016 20.169 0.010  0.013
ID-0131 17 37 17.76  -3 14 37.80 22.072 0.025 20.994 0.019 -0.032
ID-0132 17 37 17.80  -3 13 58.15 20.638 0.008 19.415 0.006 -0.032
ID-0133 17 37 17.80  -3 17 30.65 21.237 0.013 20.241 0.012 -0.001
ID-0134 17 37 17.81  -3 11 27.66 23.110 0.049 22.127 0.040 -0.041
ID-0135 17 37 17.82  -3 19 10.41 21.725 0.024 20.543 0.011 -0.006
ID-0136 17 37 17.83  -3 13 18.46 23.006 0.042 21.968 0.040 -0.050
ID-0137 17 37 17.85  -3  9 40.04 22.657 0.030 21.675 0.030 -0.048
ID-0138 17 37 17.86  -3 15  0.58 22.739 0.040 21.722 0.037 -0.022
ID-0139 17 37 17.86  -3 21  5.34 22.109 0.030 21.110 0.027  0.013
ID-0140 17 37 17.87  -3 14 47.03 22.284 0.026 21.342 0.024 -0.032
