#Num    X        Y        FwhmX    FwhmY    Angle    Mag      Flux      OMC    SNR
198    375.19   558.02   3.885    3.859    0.8401   15.771   4207.79   4.779  51.82
199    1350.5   537.8    4.294    4.174    -0.7081  15.771   4205.92   3.023  68.5
200    226.06   13.151   4.969    4.154    1.199    15.788   4140.13   7.846  22.56
201    230.92   146.07   4.954    4.057    0.8433   15.808   4066.43   7.728  23.1
202    230.78   239.27   4.784    4.489    0.1008   15.809   4061.36   18.54  9.005
203    330.31   807.49   4.075    3.921    -0.5248  15.809   4060.08   3.638  61.64
204    177.82   323.58   4.053    3.635    -0.9445  15.81    4056.12   9.922  24.49
205    532.27   183.25   4.215    3.953    -0.4301  15.824   4004.29   5.754  36.86
206    196.5    110.17   4.517    3.566    -0.5284  15.848   3919.59   16.44  13.06
207    63.867   266.11   3.828    3.684    -0.3969  15.863   3864.07   7.45   32.46
208    628.18   1762.6   4.325    4.04     -0.7365  15.878   3811.98   3.444  55.9
209    984.21   1035.2   4.22     4.157    -0.5944  15.88    3804.57   2.578  74.27
210    873.61   468.71   4.02     3.832    -0.4639  15.891   3766.8    3.246  66.49
211    1026.5   386.3    4.111    4.041    -0.5904  15.899   3739.5    3.372  58.91
212    771.72   154.6    3.888    3.805    -0.6839  15.9     3736.76   6.34   35.16
213    73.831   523.09   4.239    3.933    -0.9128  15.915   3682.32   4.322  45.09
214    615.24   335.91   4.167    3.977    -0.5071  15.94    3600.79   4.549  42.16
215    225.93   111.91   4.032    3.845    -1.087   15.946   3579.94   8.649  23.56
216    701.46   100.11   4.031    3.858    -0.4882  15.95    3567.27   3.882  52.16
217    171.3    205.96   3.887    3.601    -0.3022  15.953   3558.35   14.77  15.19
218    219.16   235.77   7.741    4.256    0.3832   15.958   3542.02   16.03  5.92
219    65.677   344.47   3.844    3.655    -1.446   15.959   3538.34   37.52  5.923
220    202.72   16.96    6.923    4.603    0.2568   15.983   3460.27   15.44  6.207
